url,title,place,date
https://www.sympla.com.br/evento/dj-ramemes-no-vexame-25-de-agosto/3038225,DJ RaMeMes no Vexame! 25 de agosto,"Vexame bar  - Campo Grande, MS",25 de Ago às 20:30
https://bileto.sympla.com.br/event/109100,Fran Januário Quinteto canta Elza Soares,"Clube de Jazz do Café com Letras - Belo Horizonte, MG",21 de Ago às 20:30
https://www.sympla.com.br/evento/pink-flamingo-finale-watch-party-drag-race-brasil-com-angeria-quinta-11-de-setembro-20h/3021339,"Pink Flamingo: FINALE WATCH PARTY  Drag Race Brasil com Angeria   - Quinta, 11 de Setembro - 20h","Novo Pink Flamingo  - Rio de Janeiro, RJ",11 de Set às 20:00
https://bileto.sympla.com.br/event/107110,Réveillon do Copa 2026,"Copacabana Palace - Rio de Janeiro, RJ",31 de Dez às 20:00
https://www.sympla.com.br/evento/manos-fest/3058037,Manos fest,"Estacionamento - Feira de Santana, BA",31 de Jul às 21:10
https://bileto.sympla.com.br/event/104712,Hey Jude - Tributo Beatles  Teresina/PI,"Teatro 4 de Setembro - Teresina, PI",31 de Ago às 20:00
https://bileto.sympla.com.br/event/108891,Julia Mestre - Maravilhosamente Bem,"Casa Natura Musical - São Paulo, SP",16 de Out às 21:00
https://bileto.sympla.com.br/event/103268, PEARL JAM SYMPHONIC,"BeFly Minascentro - Belo Horizonte, MG",09 de Nov às 19:00
https://bileto.sympla.com.br/event/108556,SAMBA & FEIJOADA COM DANDARA ALVES NO RIO SCENARIUM  16.08,"Rio Scenarium - Rio de Janeiro, RJ",
https://www.sympla.com.br/evento/animon-2025/3061325,Animon - 2025,"Avenida Publica - Montes Claros, MG",
https://www.sympla.com.br/evento/resenha-do-edgar-gravacao-audio-visual-17-08/3041838,RESENHA DO EDGAR | GRAVAÇÃO ÁUDIO VISUAL | 17-08,"Av. Mem de Sá, 1205 - Belo Horizonte, MG",17 de Ago às 16:00
https://www.sympla.com.br/evento/flash2000-anos-2000-2010-23-08-cineclube-cortina/3037143,Flash2000 | Anos 2000 & 2010 | 23.08 | Cineclube Cortina,"Cineclube Cortina  - São Paulo, SP",23 de Ago às 23:00
https://www.sympla.com.br/evento/show-da-chiharu-tamashiro-kiroro-em-sao-paulo/3002100,Show da Chiharu Tamashiro (Kiroro) em São Paulo,"Clube Círculo Militar de São Paulo - São Paulo, SP",16 de Ago às 18:30
https://www.sympla.com.br/evento/pocket-mura-sweet-dreams-30-08/3067604,POCKET MURA: Sweet Dreams 30/08,"ESPAÇO LOC - Belo Horizonte, MG",30 de Ago às 23:00
https://www.sympla.com.br/evento/festival-backbone/3031416,Festival Backbone,"Estádio Valmir Campelo Bezerra (Bezerrão) - Brasília, DF",30 de Ago às 13:00
https://bileto.sympla.com.br/event/107945,Alice Caymmi – Para Minha Tia Nana,"Casa Natura Musical - São Paulo, SP",14 de Ago às 21:00
https://www.sympla.com.br/evento/baile-do-floresta/3047507,Baile do Floresta,"Boteco Floresta  - São Paulo, SP",16 de Ago às 19:00
https://www.sympla.com.br/evento/bar-da-morena/3052246,BAR DA MORENA,"Stop Cabula - Salvador, BA",31 de Ago às 14:00
https://bileto.sympla.com.br/event/103852,SANDRA SÁ - SUCESSOS DOS ANOS 80 E 90 - 16/08/25,"Opinião - Porto Alegre, RS",16 de Ago às 21:00
https://bileto.sympla.com.br/event/109092,Almério - Acústico,"Casa Natura Musical - São Paulo, SP",04 de Set às 21:00
https://www.sympla.com.br/evento/pagodea-edicao-de-aniversario/3061706,PagoDéa - Edição de aniversário,"Centro Cultural Cais do Sertão - Recife, PE",06 de Set às 20:00
https://bileto.sympla.com.br/event/108315,Vanessa da Mata  Goiânia/GO,"Centro de Convenções da Pontifícia Universidade Católica de Goiás - PUC Goiás , Campus II - Goiânia, GO",17 de Out às 21:30
https://www.sympla.com.br/evento/dj-marky-no-edificio-martinelli-24-08/3064415,DJ MARKY no Edifício Martinelli! | 24.08,"Condomínio do Edifício Martinelli - São Paulo, SP",24 de Ago às 14:00
https://bileto.sympla.com.br/event/108060,Queen Legend + E. Balbo  Brasília/DF,"Centro de Convenções Ulysses Guimarães - Brasília, DF",12 de Set às 21:00
https://www.sympla.com.br/evento/sambay-recife-23-de-agosto/3055716,SAMBAY RECIFE | 23 de agosto,"Centro Cultural Cais do Sertão - Recife, PE",23 de Ago às 21:00
https://bileto.sympla.com.br/event/107282,"LAGUM AS CORES, AS CURVAS E AS DORES DO MUNDO","Befly Hall - Belo Horizonte, MG",20 de Set às 22:00
https://bileto.sympla.com.br/event/107661,TURNÊ CRIOLO 50 Anos,"Concha Acústica - Salvador, BA",01 de Nov às 19:00
https://www.sympla.com.br/evento/k-festival-festival-da-cultura-coreana-2025/2971439,K-FESTIVAL: FESTIVAL DA CULTURA COREANA 2025,"Estacionamento 1 - Parque da Cidade - Brasília, DF",
https://www.sympla.com.br/evento/box-room-com-syon-trio-14-08/3056350,BOX ROOM COM SYON TRIO | 14/08,"Clube Chalezinho - Belo Horizonte, MG",14 de Ago às 22:00
https://www.sympla.com.br/evento/obscura/3046907,Obscura,"Ali óh - Viçosa, MG",06 de Set às 21:00
https://www.sympla.com.br/evento/sarracao-no-jockey-club-pre-reveillon/3037201,SARRAÇÃO NO JOCKEY CLUB | PRÉ-RÉVEILLON,"EXC RIO - JOCKEY CLUB - Rio de Janeiro, RJ",29 de Dez às 23:00
https://www.sympla.com.br/evento/forrocacana-e-baile-dos-ratos-comemorando-31-anos-do-remelexo-brasil/3052407,FORRÓÇACANA e BAILE DOS RATOS - Comemorando 31 ANOS do REMELEXO BRASIL,"Remelexo Brasil - São Paulo, SP",07 de Nov às 22:00
https://bileto.sympla.com.br/event/102771,IRA! ACÚSTICO 20 ANOS ,"Befly Hall - Belo Horizonte, MG",04 de Out às 21:00
https://bileto.sympla.com.br/event/107975,LOVETIMEJAZZ  22.08,"Dolores Club - Rio de Janeiro, RJ",
https://www.sympla.com.br/evento/bapho-fantasy-open-bar-16-08-vip-station/3056233,BAPHO FANTASY - OPEN BAR 16/08  VIP STATION,"Vip Station - São Paulo, SP",16 de Ago às 23:00
https://www.sympla.com.br/evento/violada-do-aelo-santo-buteco-varginha/3056161,Violada do #AeLO - Santo Buteco (Varginha),"Santo Buteco - Varginha, MG",15 de Ago às 19:00
https://bileto.sympla.com.br/event/109096,"Sheela - A Festa: 30ª edição, com show de Tatá Aeroplano","Casa de Francisca - São Paulo, SP",22 de Ago às 21:00
https://www.sympla.com.br/evento/especial-justin-bieber/3067791,Especial Justin Bieber,"Porão do Alemão - Manaus, AM",15 de Ago às 19:00
