url,title,place,city,date
https://www.ticket360.com.br/evento/31341/ingressos-para-toquinho-so-tenho-tempo-pra-ser-feliz-60-anos-de-musica,Toquinho Só Tenho Tempo Pra Ser Feliz - 60 Anos de Música,Espaço Unimed,São Paulo / SP,17 OUT • SEX
https://www.ticket360.com.br/evento/31162/ingressos-para-vanessa-da-mata,Vanessa da Mata,Vivo Rio,Rio de Janeiro / RJ,18 OUT • SÁB
https://www.ticket360.com.br/evento/30920/ingressos-para-a-origem-dos-rosa-o-show,"A Origem Dos Rosa, O Show",Clube Atlético Juventus,São Paulo / SP,19 OUT • DOM
https://www.ticket360.com.br/evento/31052/ingressos-para-ocean-alley-latin-america-25,Ocean Alley Latin America 25,Audio,São Paulo / SP,23 OUT • QUI
https://www.ticket360.com.br/evento/31127/ingressos-para-paralamas-classicos-40-anos,Paralamas Clássicos 40 anos,Espaço Unimed,São Paulo / SP,24 OUT • SEX
https://www.ticket360.com.br/evento/31342/ingressos-para-vh-e-alexandre,Vh & Alexandre,Villa Country,São Paulo / SP,24 OUT • SEX
https://www.ticket360.com.br/evento/31391/ingressos-para-filipe-ret-luccas-carlos-e-amabbi,"Filipe Ret, Luccas Carlos e Amabbi",Clube Atlético Aramaçan,Santo André / SP,24 OUT • SEX
https://www.ticket360.com.br/evento/31436/ingressos-para-encontro-das-tribos,Encontro das Tribos,Estância Alto da Serra,São Bernardo do Campo / SP,25 OUT • SÁB
https://www.ticket360.com.br/evento/31438/ingressos-para-301436-encontro-das-tribos-estacionamento,31436 - Encontro das Tribos Estacionamento,Estacionamento - Estância Alto da Serra,São Bernardo do Campo / SP,25 OUT • SÁB
https://www.ticket360.com.br/evento/30529/ingressos-para-belinha,Belinha,Vivo Rio,Rio de Janeiro / RJ,26 OUT • DOM
https://www.ticket360.com.br/evento/31185/ingressos-para-marcos-e-belutti-e-danilo-e-davi-no-halloween-do-villa,Marcos & Belutti e Danilo & Davi no Halloween do Villa,Villa Country,São Paulo / SP,31 OUT • SEX
https://www.ticket360.com.br/evento/30947/ingressos-para-gustavo-mioto,Gustavo Mioto,Espaço Unimed,São Paulo / SP,01 NOV • SÁB
https://www.ticket360.com.br/evento/31217/ingressos-para-joao-neto-e-frederico-no-halloween-do-villa,João Neto & Frederico no Halloween do Villa,Villa Country,São Paulo / SP,01 NOV • SÁB
https://www.ticket360.com.br/evento/31189/ingressos-para-reggae-live-station-com-the-wailers-ponto-de-equilibrio-e-planta-e-raiz,"Reggae Live Station com The Wailers, Ponto de Equilíbrio e Planta & Raiz",Espaço Unimed,São Paulo / SP,02 NOV • DOM
https://www.ticket360.com.br/evento/31096/ingressos-para-daniel-no-show-um-novo-tempo,Daniel No Show Um Novo Tempo,Espaço Unimed,São Paulo / SP,08 NOV • SÁB
https://www.ticket360.com.br/evento/31408/ingressos-para-dire-straits-legacy,Dire Straits Legacy,Espaço Unimed,São Paulo / SP,09 NOV • DOM
https://www.ticket360.com.br/evento/30861/ingressos-para-murilo-huff-e-debora-daniela,Murilo Huff e Debora & Daniela,Villa Country,São Paulo / SP,14 NOV • SEX
https://www.ticket360.com.br/evento/30866/ingressos-para-a-origem-dos-rosa-o-show,"A Origem Dos Rosa, O Show",Vivo Rio,Rio de Janeiro / RJ,15 NOV • SÁB
https://www.ticket360.com.br/evento/30867/ingressos-para-a-origem-dos-rosa-o-show,"A Origem Dos Rosa, O Show",Vivo Rio,Rio de Janeiro / RJ,16 NOV • DOM
https://www.ticket360.com.br/evento/30963/ingressos-para-djonga-quanto-mais-eu-como-mais-eu-sinto-fome,Djonga Quanto Mais Eu Como Mais Eu Sinto Fome,Espaço Unimed,São Paulo / SP,19 NOV • QUA
https://www.ticket360.com.br/evento/31335/ingressos-para-chitaozinho-e-xororo-uma-historia-de-sucesso-data-extra,Chitãozinho & Xororó Uma História de Sucesso Data Extra,Espaço Unimed,São Paulo / SP,21 NOV • SEX
https://www.ticket360.com.br/evento/30865/ingressos-para-chitaozinho-xororo-uma-historia-de-sucesso,Chitãozinho & Xororó Uma História de Sucesso,Espaço Unimed,São Paulo / SP,22 NOV • SÁB
https://www.ticket360.com.br/evento/31370/ingressos-para-festival-fado,Festival Fado,Vivo Rio,Rio de Janeiro / RJ,23 NOV • DOM
https://www.ticket360.com.br/evento/30798/ingressos-para-ze-neto-e-cristiano,Zé Neto & Cristiano,Villa Country,São Paulo / SP,27 NOV • QUI
https://www.ticket360.com.br/evento/31387/ingressos-para-festival-novabrasil-25-anos,Festival Novabrasil 25 Anos,Parque Villa-Lobos,São Paulo / SP,29 NOV • SÁB
https://www.ticket360.com.br/evento/31288/ingressos-para-vitor-kley-as-pequenas-grandes-coisas,Vitor Kley As Pequenas Grandes Coisas,Audio,São Paulo / SP,29 NOV • SÁB
