artist,url,location,date
"SEGUNDA NO CINE: ATAQUE AO PRÉDIO (ATTACK THE BLOCK, JOE CORNISH, REINO UNIDO, 2011)",https://www.eventim.com.br/event/segunda-no-cine-ataque-ao-predio-attack-the-block-joe-cornish-reino-unido-2011-cine-theatro-brasil-20415772/,Belo Horizonte,"seg. 28/07/2025, 19:30"
THE MESSI EXPERIENCE - INGRESSOS FLEX E VIP,https://www.eventim.com.br/event/the-messi-experience-ingressos-flex-e-vip-shopping-eldorado-19477012/,São Paulo,sáb. 26/04/2025 ─ sáb. 16/08/2025
THE MESSI EXPERIENCE - INGRESSOS FLEX E VIP,https://www.eventim.com.br/event/the-messi-experience-ingressos-flex-e-vip-shopping-eldorado-19477123/,São Paulo,sáb. 26/04/2025 ─ sáb. 16/08/2025
LTA SUL - 3º SPLIT 2025,https://www.eventim.com.br/event/lta-sul-3-split-2025-riot-games-arena-sao-paulo-20470433/,São Paulo,"sáb. 02/08/2025, 12:00"
LTA SUL - 3º SPLIT 2025,https://www.eventim.com.br/event/lta-sul-3-split-2025-riot-games-arena-sao-paulo-20470432/,São Paulo,"dom. 03/08/2025, 12:00"
THE MESSI EXPERIENCE - INGRESSOS GERAL,https://www.eventim.com.br/event/the-messi-experience-ingressos-geral-shopping-eldorado-20470417/,São Paulo,ter. 22/07/2025
THE MESSI EXPERIENCE - INGRESSOS GERAL,https://www.eventim.com.br/event/the-messi-experience-ingressos-geral-shopping-eldorado-20417004/,São Paulo,qua. 23/07/2025
NOS RASTROS DA IMAGEM: FILMES DE DETETIVE,https://www.eventim.com.br/event/nos-rastros-da-imagem-filmes-de-detetive-cine-humberto-mauro-20424159/,Belo Horizonte,"ter. 22/07/2025, 16:00"
NOS RASTROS DA IMAGEM: FILMES DE DETETIVE,https://www.eventim.com.br/event/nos-rastros-da-imagem-filmes-de-detetive-cine-humberto-mauro-20424158/,Belo Horizonte,"ter. 22/07/2025, 18:30"
"SEGUNDA NO CINE: O ANO EM QUE MEUS PAIS SAÍRAM DE FÉRIAS (CAO HAMBURGER, BRASIL, 2006)",https://www.eventim.com.br/event/segunda-no-cine-o-ano-em-que-meus-pais-sairam-de-ferias-cao-hamburger-brasil-2006-cine-theatro-brasil-20416130/,Belo Horizonte,"seg. 28/07/2025, 16:30"
